
skl_trade|【魅】 交 易 
skl_riding_desc|可 以 骑 更 好 的 马 ， 提 高 骑 行 速 度 和 操 纵 ，并 每 级 提 升 10%%马 匹 生 命 和 撞 击 伤 害 。 每 级 增 加 5%马 匹 撞 击 暴 击 几 率 ，马 匹 暴 击 几 率 只 有 骑 术 加 成 。（ 个 人 技 能 ，上 限 15 级 ） 
skl_athletics|【敏】 步 战  
skl_athletics_desc|提 高 跑 动 速 度 ，每 点 提 高 3%% 暴 击 几 率 和 格 挡 几 率 , 步 战 时 生 效 ，攻 击 者 暴 击 几 率 与 受 伤 者 格 挡 几 率 相 减 后 再 计 算 格 挡 或 者 暴 击 ！（ 个 人 技 能 ，上 限 15 级 ） 
skl_shield|【敏】 格 挡  
skl_shield_desc|减 少 盾 的 损 坏 程 度 （ 每 点 减 少 8%%） 和 提 高 盾 的 格 挡 速 度 ， 以 及 覆 盖 范 围 ，每 点 增 加 5%% 机 会 格 挡 攻 击 ，降 低 25%% ，超过100%%的 几 率 为 降 低 44% ，攻 击 者 暴 击 几 率 与 受 伤 者 格 挡 几 率 相 减 后 再 计 算 格 挡 或 者 暴 击 ！  （ 个 人 技 能 ，上 限 15 级 ） 
skl_weapon_master|【敏】 武 器 掌 握 
skl_weapon_master_desc|每 点 提 升 5%% 暴 击 几 率 （ 暴 击 造 成 1.5倍 伤 害 ，概 率 超 过 100%%的 部 分 有 几 率 造 成 2.25倍 伤 害 ），攻 击 者 暴 击 几 率 与 受 伤 者 格 挡 几 率 相 减 后 再 计 算 格 挡 或 者 暴 击 ！并 让 武 器 熟 练 度 提 升 的 更 快 ， 并 且 提 高 武 器 熟 练 度 的 上 限 。 上 限 依 次 为 ： 60， 100， 140， 180， 220， 260， 300， 340， 380， 420 。 （ 个 人 技 能 ，上 限 15 级 ） 
skl_reserved_9|Reserved Skill 9 
skl_reserved_9_desc|This is a reserved skill.
skl_reserved_10|Reserved Skill 10 
skl_reserved_10_desc|This is a reserved skill.
skl_reserved_11|Reserved Skill 11 
skl_reserved_11_desc|This is a reserved skill.
skl_reserved_12|Reserved Skill 12 
skl_reserved_12_desc|This is a reserved skill.
skl_reserved_13|Reserved Skill 13 
skl_reserved_13_desc|This is a reserved skill.
skl_power_draw|【力】 强 弓 
skl_power_draw_desc|角 色 可 以 使 用 更 强 力 的 弓 。 每 点 增 加 弓 箭 伤 害 14%%， 最 高 有 效 等 级 不 超 过 弓 的 等 级 加 4。 （ 个 人 技 能 ，上 限 15 级 ） 
skl_power_throw|【力】 强 掷 
skl_power_throw_desc|现 在 加 强 击 会 自 动 加 该 技 能 。 （ 个 人 技 能 ，上 限 15 级 ） 
skl_power_strike|【力】 强 击 
skl_power_strike_desc|每 点 增 加 8%%的 近 战 伤 害 ，每 点 增 加 10%%的 投 掷 伤 害 。  （ 个 人 技 能 ，上 限 15 级 ） 
skl_ironflesh|【力】 铁 骨 
skl_ironflesh_desc|每 点 增 加 2点 生 命 值 并 降 低 所 受 伤 害 3%% ！ （ 个 人 技 能 ，上 限 15 级 ） 
skl_reserved_14|Reserved Skill 14 
skl_reserved_14_desc|This is a reserved skill.
skl_reserved_15|Reserved Skill 15 
skl_reserved_15_desc|This is a reserved skill.
skl_reserved_16|Reserved Skill 16 
skl_reserved_16_desc|This is a reserved skill.
skl_reserved_17|Reserved Skill 17 
skl_reserved_17_desc|This is a reserved skill.
skl_reserved_18|Reserved Skill 18 
skl_reserved_18_desc|This is a reserved skill.
