
trp_swadian_prison_guard|监 狱 守 卫 
trp_swadian_prison_guard_pl|监 狱 守 卫 
trp_swadian_castle_guard|城 堡 护 卫 
trp_swadian_castle_guard_pl|城 堡 护 卫 
trp_swadian_prison_guard7|监 狱 守 卫 
trp_swadian_prison_guard7_pl|监 狱 守 卫 
trp_swadian_castle_guard7|城 堡 护 卫 
trp_swadian_castle_guard7_pl|城 堡 护 卫 
trp_vaegir_recruit|维 基 亚 新 兵 
trp_vaegir_recruit_pl|维 基 亚 新 兵 
trp_vaegir_footman|维 基 亚 轻 步 兵 
trp_vaegir_footman_pl|维 基 亚 轻 步 兵 
trp_vaegir_skirmisher|维 基 亚 游 击 射 手 
trp_vaegir_skirmisher_pl|维 基 亚 游 击 射 手 
trp_vaegir_archer|维 基 亚 弓 箭 手 
trp_vaegir_archer_pl|维 基 亚 弓 箭 手 
trp_vaegir_marksman|维 基 亚 资 深 射 手 
trp_vaegir_marksman_pl|维 基 亚 资 深 射 手 
trp_vaegir_marksman2|维 基 亚 神 殿 射 手 
trp_vaegir_marksman2_pl|维 基 亚 神 殿 射 手  
trp_vaegir_veteran|维 基 亚 资 深 士 兵 
trp_vaegir_veteran_pl|维 基 亚 资 深 士 兵 
trp_vaegir_infantry|维 基 亚 步 兵 
trp_vaegir_infantry_pl|维 基 亚 步 兵 
trp_vaegir_guard|维 基 亚 卫 士 
trp_vaegir_guard_pl|维 基 亚 卫 士 
trp_vaegir_guard2|维 基 亚 神 殿 卫 士
trp_vaegir_guard2_pl|维 基 亚 神 殿 卫 士
trp_vaegir_horseman|维 基 亚 骑 手 
trp_vaegir_horseman_pl|维 基 亚 骑 手 
trp_vaegir_knight|维 基 亚 骑 士 
trp_vaegir_knight_pl|维 基 亚 骑 士 
trp_vaegir_knight2|维 基 亚 神 殿 骑 士  
trp_vaegir_knight2_pl|维 基 亚 神 殿 骑 士  
trp_vaegir_messenger|维 基 亚 传 令 兵 
trp_vaegir_messenger_pl|维 基 亚 传 令 兵 
trp_vaegir_deserter|维 基 亚 逃 兵 
trp_vaegir_deserter_pl|维 基 亚 逃 兵 
trp_vaegir_prison_guard|监 狱 守 卫 
trp_vaegir_prison_guard_pl|监 狱 守 卫 
trp_vaegir_castle_guard|城 堡 护 卫 
trp_vaegir_castle_guard_pl|城 堡 护 卫 
trp_khergit_tribesman|库 吉 特 族 人 
trp_khergit_tribesman_pl|库 吉 特 族 人 
trp_khergit_skirmisher|库 吉 特 游 击 射 手 
trp_khergit_skirmisher_pl|库 吉 特 游 击 射 手 
trp_khergit_horseman|库 吉 特 骑 手 
trp_khergit_horseman_pl|库 吉 特 骑 手 
trp_khergit_horse_archer|库 吉 特 骑 射 手 
trp_khergit_horse_archer_pl|库 吉 特 骑 射 手 
trp_khergit_veteran_horse_archer|库 吉 特 资 深 骑 射 手 
trp_khergit_veteran_horse_archer_pl|库 吉 特 资 深 骑 射 手 
trp_khergit_veteran_horse_archer2|库 吉 特 金 帐 骑 射 手 
trp_khergit_veteran_horse_archer2_pl|库 吉 特 金 帐 骑 射 手 
trp_khergit_lancer|库 吉 特 枪 骑 兵 
trp_khergit_lancer_pl|库 吉 特 枪 骑 兵 
trp_khergit_lancer2|库 吉 特 铁 骑 
trp_khergit_lancer2_pl|库 吉 特 铁 骑 
trp_khergit_messenger|库 吉 特 传 令 兵 
trp_khergit_messenger_pl|库 吉 特 传 令 兵 
trp_khergit_deserter|库 吉 特 逃 兵 
trp_khergit_deserter_pl|库 吉 特 逃 兵 
trp_khergit_prison_guard|监 狱 守 卫 
trp_khergit_prison_guard_pl|监 狱 守 卫 
trp_khergit_castle_guard|城 堡 护 卫 
trp_khergit_castle_guard_pl|城 堡 护 卫 
trp_nord_recruit|诺 德 新 兵 
trp_nord_recruit_pl|诺 德 新 兵 
trp_nord_footman|诺 德 轻 步 兵 
trp_nord_footman_pl|诺 德 轻 步 兵 
trp_nord_trained_footman|诺 德 熟 练 轻 步 兵 
trp_nord_trained_footman_pl|诺 德 熟 练 轻 步 兵 
trp_nord_warrior|诺 德 勇 士 
trp_nord_warrior_pl|诺 德 勇 士 
trp_nord_veteran|诺 德 资 深 士 兵 
trp_nord_veteran_pl|诺 德 资 深 士 兵 
trp_nord_champion|诺 德 皇 家 侍 卫 
trp_nord_champion_pl|诺 德 皇 家 侍 卫 
trp_nord_champion2|诺 德 皇 家 战 神 
trp_nord_champion2_pl|诺 德 皇 家 战 神  
trp_nord_huntsman|诺 德 猎 人 
trp_nord_huntsman_pl|诺 德 猎 人 
trp_nord_archer|诺 德 弓 箭 手 
trp_nord_archer_pl|诺 德 弓 箭 手 
trp_nord_veteran_archer|诺 德 资 深 弓 箭 手 
trp_nord_veteran_archer_pl|诺 德 资 深 弓 箭 手 
trp_nord_veteran_archer2|诺 德 精 英 弓 箭 手 
trp_nord_veteran_archer2_pl|诺 德 精 英 弓 箭 手  
trp_4nord_recruit|诺 德 新 兵 (行 尸 )
trp_4nord_recruit_pl|诺 德 新 兵 (行 尸 ) 
trp_4nord_footman|诺 德 轻 步 兵 (行 尸 ) 
trp_4nord_footman_pl|诺 德 轻 步 兵 (行 尸 ) 
trp_4nord_trained_footman|诺 德 熟 练 轻 步 兵 (行 尸 ) 
trp_4nord_trained_footman_pl|诺 德 熟 练 轻 步 兵 (行 尸 ) 
trp_4nord_warrior|诺 德 勇 士 (行 尸 ) 
trp_4nord_warrior_pl|诺 德 勇 士 (行 尸 ) 
trp_4nord_veteran|诺 德 资 深 士 兵 (行 尸 ) 
trp_4nord_veteran_pl|诺 德 资 深 士 兵 (行 尸 ) 
trp_4nord_champion|诺 德 皇 家 侍 卫 (行 尸 ) 
trp_4nord_champion_pl|诺 德 皇 家 侍 卫 (行 尸 ) 
trp_4nord_champion2|诺 德 皇 家 战 神 (行 尸 )
trp_4nord_champion2_pl|诺 德 皇 家 战 神 (行 尸 ) 
trp_4nord_huntsman|诺 德 猎 人 (行 尸 ) 
trp_4nord_huntsman_pl|诺 德 猎 人 (行 尸 )  
trp_4nord_archer|诺 德 弓 箭 手 (行 尸 )  
trp_4nord_archer_pl|诺 德 弓 箭 手 (行 尸 ) 
trp_4nord_veteran_archer|诺 德 资 深 弓 箭 手 (行 尸 ) 
trp_4nord_veteran_archer_pl|诺 德 资 深 弓 箭 手 (行 尸 ) 
trp_4nord_veteran_archer2|诺 德 精 英 弓 箭 手 (行 尸 ) 
trp_4nord_veteran_archer2_pl|诺 德 精 英 弓 箭 手 (行 尸 ) 
trp_nord_messenger|诺 德 传 令 兵 
trp_nord_messenger_pl|诺 德 传 令 兵 
trp_nord_deserter|诺 德 逃 兵 
trp_nord_deserter_pl|诺 德 逃 兵 
trp_nord_prison_guard|监 狱 守 卫 
trp_nord_prison_guard_pl|监 狱 守 卫 
trp_nord_castle_guard|城 堡 护 卫 
trp_nord_castle_guard_pl|城 堡 护 卫 
trp_rhodok_tribesman|罗 多 克 族 人 
trp_rhodok_tribesman_pl|罗 多 克 族 人 
trp_rhodok_spearman|罗 多 克 长 矛 手 
trp_rhodok_spearman_pl|罗 多 克 长 矛 手 
trp_rhodok_trained_spearman|罗 多 克 熟 练 长 矛 手 
trp_rhodok_trained_spearman_pl|罗 多 克 熟 练 长 矛 手 
trp_rhodok_veteran_spearman|罗 多 克 资 深 长 矛 手 
trp_rhodok_veteran_spearman_pl|罗 多 克 资 深 长 矛 手 
trp_ldkcqb1|罗 多 克 萨 满 战 士 
trp_ldkcqb1_pl|罗 多 克 萨 满 战 士 
trp_ldkcqb2|罗 多 克 萨 满 战 将 
trp_ldkcqb2_pl|罗 多 克 萨 满 战 将 
trp_ldkcqb3|罗 多 克 萨 满 战 神 
trp_ldkcqb3_pl|罗 多 克 萨 满 战 神 
trp_rhodok_sergeant|罗 多 克 军 士 
trp_rhodok_sergeant_pl|罗 多 克 军 士 
trp_rhodok_sergeant2|罗 多 克 亲 卫   
trp_rhodok_sergeant2_pl|罗 多 克 亲 卫 
trp_rhodok_crossbowman|罗 多 克 弩 手 
trp_rhodok_crossbowman_pl|罗 多 克 弩 手 
trp_rhodok_trained_crossbowman|罗 多 克 熟 练 弩 手 
trp_rhodok_trained_crossbowman_pl|罗 多 克 熟 练 弩 手 
trp_rhodok_veteran_crossbowman|罗 多 克 资 深 弩 手 
trp_rhodok_veteran_crossbowman_pl|罗 多 克 资 深 弩 手 
trp_rhodok_sharpshooter|罗 多 克 狙 击 弩 手 
trp_rhodok_sharpshooter_pl|罗 多 克 狙 击 弩 手 
trp_rhodok_sharpshooter2|罗 多 克 狙 击 连 弩 手
trp_rhodok_sharpshooter2_pl|罗 多 克 狙 击 连 弩 手
trp_rhodok_messenger|罗 多 克 传 令 兵 
trp_rhodok_messenger_pl|罗 多 克 传 令 兵 
trp_rhodok_deserter|罗 多 克 逃 兵 
trp_rhodok_deserter_pl|罗 多 克 逃 兵 
trp_rhodok_prison_guard|监 狱 守 卫 
trp_rhodok_prison_guard_pl|监 狱 守 卫 
trp_rhodok_castle_guard|城 堡 护 卫 
trp_rhodok_castle_guard_pl|城 堡 护 卫 
trp_sarranid_recruit|萨 兰 德 新 兵 
trp_sarranid_recruit_pl|萨 兰 德 新 兵 
trp_sarranid_footman|萨 兰 德 轻 步 兵 
trp_sarranid_footman_pl|萨 兰 德 轻 步 兵 
trp_sarranid_veteran_footman|萨 兰 德 资 深 轻 步 兵 
trp_sarranid_veteran_footman_pl|萨 兰 德 资 深 轻 步 兵 
trp_sarranid_infantry|萨 兰 德 步 兵 
trp_sarranid_infantry_pl|萨 兰 德 步 兵 
trp_sarranid_guard|萨 兰 德 卫 士 
trp_sarranid_guard_pl|萨 兰 德 卫 士 
trp_sarranid_guard2|萨 兰 德 苏 丹 禁 卫 军 
trp_sarranid_guard2_pl|萨 兰 德 苏 丹 禁 卫 军 
trp_xunshoushi1|驯 兽 员 
trp_xunshoushi2|驯 兽 士 
trp_xunshoushi3|驯 兽 家 
trp_xunshoushi4|驯 兽 师 
trp_xunshoushi1_pl|驯 兽 员 
trp_xunshoushi2_pl|驯 兽 士 
trp_xunshoushi3_pl|驯 兽 家 
trp_xunshoushi4_pl|驯 兽 师 
trp_emo|魔 兽 
trp_emo2|魔 兽 战 士 
trp_emo3|魔 兽 战 将 
trp_emo4|魔 兽 领 主 
trp_emo_pl|魔 兽 
trp_emo2_pl|魔 兽 战 士 
trp_emo3_pl|魔 兽 战 将 
trp_emo4_pl|魔 兽 领 主 
trp_emo5|魔 龙 教 主 
trp_emo5_pl|魔 龙 教 主   
trp_sarranid_skirmisher|萨 兰 德 游 击 射 手 
trp_sarranid_skirmisher_pl|萨 兰 德 游 击 射 手 
trp_sarranid_archer|萨 兰 德 弓 箭 手 
trp_sarranid_archer_pl|萨 兰 德 弓 箭 手 
trp_sarranid_master_archer|萨 兰 德 弓 箭 大 师 
trp_sarranid_master_archer_pl|萨 兰 德 弓 箭 大 师 
trp_sarranid_master_archer2|萨 兰 德 苏 丹 亲 兵 
trp_sarranid_master_archer2_pl|萨 兰 德 苏 丹 亲 兵 
trp_sarranid_horseman|萨 兰 德 骑 手 
trp_sarranid_horseman_pl|萨 兰 德 骑 手 
trp_sarranid_mamluke|萨 兰 德 马 穆 鲁 克 
trp_sarranid_mamluke_pl|萨 兰 德 马 穆 鲁 克 
trp_sarranid_mamluke2|萨 兰 德 苏 丹 马 穆 鲁 克 
trp_sarranid_mamluke2_pl|萨 兰 德 苏 丹 马 穆 鲁 克 
trp_sarranid_messenger|萨 兰 德 传 令 兵 
trp_sarranid_messenger_pl|萨 兰 德 传 令 兵 
trp_sarranid_deserter|萨 兰 德 逃 兵 
trp_sarranid_deserter_pl|萨 兰 德 逃 兵 
trp_sarranid_prison_guard|监 狱 守 卫 
trp_sarranid_prison_guard_pl|监 狱 守 卫 
trp_sarranid_castle_guard|城 堡 护 卫 
trp_sarranid_castle_guard_pl|城 堡 护 卫 
trp_looter|劫 匪 
trp_looter_pl|劫 匪 
trp_bandit|盗 贼 
trp_bandit_pl|盗 贼 
trp_bandit2|水 贼 
trp_bandit2_pl|水 贼 
trp_brigand|土 匪 
trp_brigand_pl|土 匪 
trp_mountain_bandit|山 贼 
trp_mountain_bandit_pl|山 贼 
trp_mountain_bandit3|江 洋 大 盗 
trp_mountain_bandit3_pl|江 洋 大 盗 
trp_mountain_bandit4|江 洋 大 盗 头 目 
trp_mountain_bandit4_pl|江 洋 大 盗 头 目 
trp_forest_bandit|绿 林 盗 贼 
trp_forest_bandit_pl|绿 林 盗 贼 
trp_jinglinggongshou1|玛 雅 猎 人 
trp_jinglinggongshou1_pl|玛 雅 猎 人 
trp_jinglinggongshou2|玛 雅 射 手 
trp_jinglinggongshou2_pl|玛 雅 射 手 
trp_jinglinggongshou3|玛 雅 神 射 手 
trp_jinglinggongshou3_pl|玛 雅 神 射 手 
trp_jinglinggongshou4|玛 雅 幻 影 射 手 
trp_jinglinggongshou4_pl|玛 雅 幻 影 射 手 
trp_jinglinggongshou33|监 狱 守 卫 
trp_jinglinggongshou33_pl|监 狱 守 卫 
trp_qijingling|卡 洛 斯 之 力 
trp_qijingling_pl|卡 洛 斯 之 力 
trp_qijingling2|卡 洛 斯 之 心 
trp_qijingling2_pl|卡 洛 斯 之 心 
trp_yemanren1|奥 尔 克 猎 人 
trp_yemanren1_pl|奥 尔 克 猎 人 
trp_yemanren2|奥 尔 克 战 士 
trp_yemanren2_pl|奥 尔 克 战 士 
trp_yemanren3|奥 尔 克 战 将 
trp_yemanren3_pl|奥 尔 克 战 将 
trp_yemanren4|奥 尔 克 战 神 
trp_yemanren4_pl|奥 尔 克 战 神 
trp_yezhuqi1|哼 哈 猎 人 
trp_yezhuqi2|哼 哈 战 士 
trp_yezhuqi3|哼 哈 战 将 
trp_yezhuqi4|哼 哈 头 领 
trp_yezhuqi1_pl|哼 哈 猎 人 
trp_yezhuqi2_pl|哼 哈 战 士 
trp_yezhuqi3_pl|哼 哈 战 将 
trp_yezhuqi4_pl|哼 哈 头 领 
trp_sea_raider|海 贼 
trp_sea_raider_pl|海 贼 
trp_sea_raider2|海 寇 
trp_sea_raider2_pl|海 寇 
trp_sea_raider3|海 盗 
trp_sea_raider3_pl|海 盗 
trp_sea_raider4|海 盗 头 目 
trp_sea_raider4_pl|海 盗 头 目 
trp_steppe_bandit|马 贼 
trp_steppe_bandit_pl|马 贼 
trp_steppe_bandit2|响 马 
trp_steppe_bandit2_pl|响 马 
trp_taiga_bandit|雪 原 盗 贼 
trp_taiga_bandit_pl|雪 原 盗 贼 
trp_taiga_bandit2|游 击 盗 匪 
trp_taiga_bandit2_pl|游 击 盗 匪  
trp_taiga_bandit3|资 深 游 击 盗 匪 
trp_taiga_bandit3_pl|资 深 游 击 盗 匪 
trp_taiga_bandit4|游 击 盗 匪 头 目  
trp_taiga_bandit4_pl|游 击 盗 匪 头 目 
trp_4looter0|死 奴 
trp_4looter0_pl|死 奴 
trp_4looter|亡 灵 
trp_4looter_pl|亡 灵 
trp_4bandit|亡 灵 新 兵 
trp_4bandit_pl|亡 灵 新 兵 
trp_4bandit2|亡 灵 新 卒 
trp_4bandit2_pl|亡 灵 新 卒 
trp_4brigand|亡 灵 骑 兵 
trp_4brigand_pl|亡 灵 骑 兵 
trp_4mountain_bandit|亡 灵 斥 候 
trp_4mountain_bandit_pl|亡 灵 斥 候 
trp_4mountain_bandit3|亡 灵 铁 骑 
trp_4mountain_bandit3_pl|亡 灵 铁 骑 
trp_4mountain_bandit4|亡 灵 骑 士 
trp_4mountain_bandit4_pl|亡 灵 骑 士 
trp_5mountain_bandit3|濒 危 骑 士 
trp_5mountain_bandit3_pl|濒 危 骑 士 
trp_5mountain_bandit4|无 头 骑 士 
trp_5mountain_bandit4_pl|无 头 骑 士 
trp_5mountain_bandit5|恐 怖 骑 士 
trp_5mountain_bandit5_pl|恐 怖 骑 士 
trp_4sea_raider|亡 灵 勇 士 
trp_4sea_raider_pl|亡 灵 勇 士 
trp_4sea_raider2|亡 灵 战 士 
trp_4sea_raider2_pl|亡 灵 战 士 
trp_4sea_raider3|亡 灵 军 士 
trp_4sea_raider3_pl|亡 灵 军 士 
trp_4sea_raider4|亡 灵 卫 士 
trp_4sea_raider4_pl|亡 灵 卫 士 
trp_5sea_raider3|濒 危 卫 士 
trp_5sea_raider3_pl|濒 危 卫 士 
trp_5sea_raider4|无 头 卫 士 
trp_5sea_raider4_pl|无 头 卫 士 
trp_5sea_raider5|恐 怖 卫 士 
trp_5sea_raider5_pl|恐 怖 卫 士 
trp_4taiga_bandit|亡 灵 弓 手 
trp_4taiga_bandit_pl|亡 灵 弓 手 
trp_4taiga_bandit2|亡 灵 射 手 
trp_4taiga_bandit2_pl|亡 灵 射 手 
trp_4taiga_bandit3|亡 灵 资 深 射 手 
trp_4taiga_bandit3_pl|亡 灵 资 深 射 手 
trp_4taiga_bandit4|亡 灵 神 射 手 
trp_4taiga_bandit4_pl|亡 灵 神 射 手 
trp_5taiga_bandit3|濒 危 神 射 手 
trp_5taiga_bandit3_pl|濒 危 神 射 手 
trp_5taiga_bandit4|无 头 神 射 手 
trp_5taiga_bandit4_pl|无 头 神 射 手 
trp_5taiga_bandit5|恐 怖 之 眼 
trp_5taiga_bandit5_pl|恐 怖 之 眼 
trp_4steppe_bandit2|亡 灵 弓 骑 
trp_4steppe_bandit2_pl|亡 灵 弓 骑 
trp_4black_khergit_horseman|亡 灵 游 骑 
trp_4black_khergit_horseman_pl|亡 灵 游 骑 
trp_4black_khergit_horseman2|亡 灵 游 侠 
trp_4black_khergit_horseman2_pl|亡 灵 游 侠 
trp_5black_khergit_horseman1|濒 危 游 侠 
trp_5black_khergit_horseman1_pl|濒 危 游 侠 
trp_5black_khergit_horseman2|无 头 游 侠 
trp_5black_khergit_horseman2_pl|无 头 游 侠 
trp_5black_khergit_horseman3|恐 怖 游 侠 
trp_5black_khergit_horseman3_pl|恐 怖 游 侠 
trp_desert_bandit|沙 漠 盗 贼 
trp_desert_bandit_pl|沙 漠 盗 贼 
trp_desert_bandit2|沙 漠 强 盗 
trp_desert_bandit2_pl|沙 漠 大 盗 
trp_desert_bandit3|沙 漠 大 盗 
trp_desert_bandit3_pl|沙 漠 大 盗 
trp_desert_bandit4|沙 漠 大 盗 头 目 
trp_desert_bandit4_pl|沙 漠 强 盗 头 目 
trp_black_khergit_horseman|黑 旗 库 吉 特 骑 手 
trp_black_khergit_horseman_pl|黑 旗 库 吉 特 骑 手 
trp_black_khergit_horseman2|黑 旗 库 吉 特 精 英 骑 手 
trp_black_khergit_horseman2_pl|黑 旗 库 吉 精 英 特 骑 手 
trp_manhunter|赏 金 猎 人 
trp_manhunter_pl|赏 金 猎 人 
trp_slave_driver|奴 贩 押 解 
trp_slave_driver_pl|奴 贩 押 解 
trp_slave_hunter|奴 贩 猎 手 
trp_slave_hunter_pl|奴 贩 猎 手 
trp_slave_crusher|奴 贩 打 手 
trp_slave_crusher_pl|奴 贩 打 手 
trp_slaver_chief|奴 贩 护 卫 
trp_slaver_chief_pl|奴 贩 护 卫 
trp_slaver_chief2|奴 贩 首 领 
trp_slaver_chief2_pl|奴 贩 首 领 
trp_ershixiong_pl|朱 坤 近 卫 军 
trp_ershixiong|朱 坤 近 卫 军 
trp_follower_woman|随 营 妇 女 
trp_follower_woman_pl|随 营 妇 女 
trp_hunter_woman|女 猎 手 
trp_hunter_woman_pl|女 猎 手 
trp_fighter_woman|女 护 卫 
trp_fighter_woman_pl|女 护 卫 
trp_sword_sister|女 剑 士 
trp_sword_sister_pl|女 剑 士 
trp_sword_sister2|女 中 豪 杰 
trp_sword_sister2_pl|女 中 豪 杰 
trp_refugee|难 民 
trp_refugee_pl|难 民 
trp_peasant_woman|农 妇 
trp_peasant_woman_pl|农 妇 
trp_caravan_master|商 人 
trp_caravan_master_pl|商 人 
trp_kidnapped_girl|被 绑 架 的 女 孩 
trp_kidnapped_girl_pl|被 绑 架 的 女 孩 
trp_town_walker_1|市 民 
trp_town_walker_1_pl|市 民 
trp_town_walker_2|市 民 
trp_town_walker_2_pl|市 民 
trp_khergit_townsman|市 民 
trp_khergit_townsman_pl|市 民 
trp_khergit_townswoman|市 民 
trp_khergit_townswoman_pl|市 民 
trp_sarranid_townsman|市 民 
trp_sarranid_townsman_pl|市 民 
trp_sarranid_townswoman|市 民 
trp_sarranid_townswoman_pl|市 民 
trp_village_walker_1|村 民 
trp_village_walker_1_pl|村 民 
trp_village_walker_2|村 民 
trp_village_walker_2_pl|村 民 
trp_spy_walker_1|市 民 
trp_spy_walker_1_pl|市 民 
trp_spy_walker_2|市 民 
trp_spy_walker_2_pl|市 民 
trp_tournament_master|竞 技 场 老 板 
trp_tournament_master_pl|竞 技 场 老 板 
trp_trainer|教 练 
trp_trainer_pl|教 练 
trp_constable_hareck|治 安 官 哈 瑞 克 
trp_constable_hareck_pl|治 安 官 哈 瑞 克 
trp_ramun_the_slave_trader|奴 隶 贩 子 拉 蒙 
trp_ramun_the_slave_trader_pl|奴 隶 贩 子 拉 蒙 
trp_guide|机 灵 鬼 吉 米 
trp_guide_pl|机 灵 鬼 吉 米 
trp_xerina|谢 瑞 娜 
trp_xerina_pl|谢 瑞 娜 
trp_dranton|德 朗 顿 
trp_dranton_pl|德 朗 顿 
trp_kradus|喀 拉 杜 斯 
trp_kradus_pl|喀 拉 杜 斯 
trp_tutorial_trainer|训 练 场 教 练 
trp_tutorial_trainer_pl|训 练 场 教 练 
trp_galeas|盖 里 阿 斯 
trp_galeas_pl|盖 里 阿 斯 
